S_INFO_WINDCODE,TRADE_DT,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE
000852.SH,20130809,4116.265,4142.618,4056.857,4113.434
000905.SH,20130809,3611.776,3637.908,3570.78,3618.744
000300.SH,20130812,2296.22,2352.89,2293.176,2352.794
000852.SH,20130812,4118.48,4146.487,4105.045,4146.487
000905.SH,20130812,3629.509,3676.197,3628.945,3676.195
000300.SH,20130813,2352.883,2360.827,2340.733,2359.068
000852.SH,20130813,4145.743,4178.394,4130.031,4178.394
000905.SH,20130813,3677.115,3695.56,3669.491,3695.552
000300.SH,20130814,2362.619,2386.599,2340.833,2349.08
000852.SH,20130814,4181.005,4202.145,4147.251,4175.447
000905.SH,20130814,3694.68,3706.771,3662.041,3681.082
000300.SH,20130815,2348.839,2362.089,2319.784,2321.576
000852.SH,20130815,4168.578,4182.051,4129.321,4131.229
000905.SH,20130815,3674.653,3686.261,3629.337,3631.321
000300.SH,20130816,2314.261,2423.081,2295.023,2304.144
000852.SH,20130816,4104.5,4165.909,4029.65,4032.384
000905.SH,20130816,3611.284,3688.689,3550.818,3554.348
000300.SH,20130819,2286.203,2340.194,2284.077,2331.43
000852.SH,20130819,4010.643,4129.44,4007.296,4129.44
000905.SH,20130819,3528.908,3609.167,3522.152,3609.028
000300.SH,20130820,2325.862,2353.409,2303.666,2312.465
000852.SH,20130820,4126.685,4163.456,4110.801,4141.531
000905.SH,20130820,3606.614,3634.048,3580.194,3599.637
000300.SH,20130821,2320.584,2321.642,2291.053,2308.589
000852.SH,20130821,4136.148,4164.533,4117.844,4164.533
000905.SH,20130821,3596.933,3627.914,3577.818,3627.501
000300.SH,20130822,2302.668,2329.143,2297.016,2303.932
000852.SH,20130822,4157.79,4200.043,4156.483,4181.358
000905.SH,20130822,3621.886,3650.114,3615.706,3636.469
000300.SH,20130823,2314.866,2321.037,2251.92,2286.929
000852.SH,20130823,4189.572,4210.371,4101.786,4184.816
000905.SH,20130823,3644.676,3654.729,3560.133,3627.97
000300.SH,20130826,2294.759,2336.381,2288.496,2335.616
000852.SH,20130826,4186.71,4267.371,4186.71,4267.371
000905.SH,20130826,3629.357,3703.794,3627.311,3703.593
000300.SH,20130827,2332.8,2345.105,2322.461,2340.881
000852.SH,20130827,4266.081,4306.38,4247.763,4306.38
000905.SH,20130827,3702.582,3732.219,3691.161,3732.098
000300.SH,20130828,2326.096,2345.358,2307.043,2328.056
000852.SH,20130828,4280.208,4300.449,4248.536,4257.972
000905.SH,20130828,3707.533,3740.129,3680.496,3703.92
000300.SH,20130829,2338.564,2342.32,2308.145,2318.311
000852.SH,20130829,4255.02,4272.252,4229.095,4260.793
000905.SH,20130829,3703.046,3715.846,3679.08,3701.083
000300.SH,20130830,2315.913,2334.413,2303.609,2313.91
000852.SH,20130830,4256.81,4269.995,4164.493,4181.742
000905.SH,20130830,3702.847,3727.3,3645.362,3664.148
000300.SH,20130902,2319.957,2329.867,2297.449,2320.344
000852.SH,20130902,4173.482,4218.395,4147.441,4218.395
000905.SH,20130902,3674.684,3695.087,3633.461,3689.959
000300.SH,20130903,2326.231,2354.856,2321.304,2354.502
000852.SH,20130903,4221.022,4290.872,4216.861,4290.872
000905.SH,20130903,3685.337,3745.235,3680.147,3744.871
000300.SH,20130904,2352.537,2360.663,2345.437,2350.699
000852.SH,20130904,4290.867,4311.208,4273.968,4298.858
000905.SH,20130904,3747.227,3766.414,3734.778,3755.239
000300.SH,20130905,2350.927,2351.218,2336.754,2341.735
000852.SH,20130905,4292.642,4333.817,4282.721,4324.725
000905.SH,20130905,3749.938,3776.004,3741.457,3762.569
000300.SH,20130906,2336.767,2361.178,2335.932,2357.782
000852.SH,20130906,4317.88,4357.438,4309.43,4352.459
000905.SH,20130906,3758.905,3799.071,3754.64,3792.832
000300.SH,20130909,2374.26,2449.249,2372.686,2440.609
000852.SH,20130909,4355.505,4373.885,4340.567,4369.943
000905.SH,20130909,3799.451,3835.48,3793.114,3831.927
000300.SH,20130910,2446.454,2475.195,2435.826,2474.894
