S_INFO_WINDCODE,LIMIT_PCT,EFFECTIVE_DATE
IF2111.CFE,10.0,20210922
IC2111.CFE,10.0,20210922
IC2104.CFE,20.0,20210416
IF2104.CFE,20.0,20210416
IC1710.CFE,20.0,20171020
IC1902.CFE,20.0,20190215
IC2106.CFE,20.0,20210618
IF1710.CFE,20.0,20171020
IF2106.CFE,20.0,20210618
IC2107.CFE,20.0,20210716
IF1812.CFE,20.0,20181221
IC1812.CFE,20.0,20181221
IF2107.CFE,20.0,20210716
IF1901.CFE,20.0,20190118
IC1901.CFE,20.0,20190118
IF1902.CFE,20.0,20190215
IC2109.CFE,20.0,20210917
IF2109.CFE,20.0,20210917
IC2112.CFE,10.0,20210419
IF2112.CFE,10.0,20210419
IC2110.CFE,10.0,20210823
IF2110.CFE,10.0,20210823
IC2201.CFE,10.0,20211122
IF2201.CFE,10.0,20211122
IC2209.CFE,10.0,20220124
IF2209.CFE,10.0,20220124
IC2110.CFE,20.0,20211015
IF2110.CFE,20.0,20211015
IF2206.CFE,10.0,20211018
IC2206.CFE,10.0,20211018
IC2112.CFE,20.0,20211217
IF2112.CFE,20.0,20211217
IF2202.CFE,10.0,20211220
IC2202.CFE,10.0,20211220
IC2201.CFE,20.0,20220121
IF2201.CFE,20.0,20220121
IF2108.CFE,20.0,20210820
IC2108.CFE,20.0,20210820
IC2010.CFE,20.0,20201016
IF2010.CFE,20.0,20201016
IC2106.CFE,10.0,20201019
IF2106.CFE,10.0,20201019
IC2102.CFE,20.0,20210219
IF2102.CFE,20.0,20210219
IC2101.CFE,20.0,20210115
IF2101.CFE,20.0,20210115
IC2109.CFE,10.0,20210118
IF2109.CFE,10.0,20210118
IC2011.CFE,20.0,20201120
IF2011.CFE,20.0,20201120
IC2101.CFE,10.0,20201123
IF2101.CFE,10.0,20201123
IC2105.CFE,20.0,20210521
IF2105.CFE,20.0,20210521
IC2107.CFE,10.0,20210524
IF2107.CFE,10.0,20210524
IC2104.CFE,10.0,20210222
IF2104.CFE,10.0,20210222
IC2012.CFE,20.0,20201218
IF2012.CFE,20.0,20201218
IC2102.CFE,10.0,20201221
IF2102.CFE,10.0,20201221
IC2103.CFE,20.0,20210319
IF2103.CFE,20.0,20210319
IC2105.CFE,10.0,20210322
IF2105.CFE,10.0,20210322
IF2108.CFE,10.0,20210621
IC2108.CFE,10.0,20210621
IC2207.CFE,20.0,20220715
IF2207.CFE,20.0,20220715
IC2204.CFE,20.0,20220415
IF2204.CFE,20.0,20220415
IF2211.CFE,10.0,20220919
IC2211.CFE,10.0,20220919
IM2208.CFE,10.0,20220722
IM2212.CFE,10.0,20220722
IM2209.CFE,10.0,20220722
IM2303.CFE,10.0,20220722
IC2209.CFE,20.0,20220916
IF2209.CFE,20.0,20220916
IM2209.CFE,20.0,20220916
IC2208.CFE,20.0,20220819
IF2208.CFE,20.0,20220819
IM2208.CFE,20.0,20220819
IF2212.CFE,10.0,20220418
IC2212.CFE,10.0,20220418
IC2206.CFE,20.0,20220617
IF2206.CFE,20.0,20220617
IC2205.CFE,20.0,20220520
IF2205.CFE,20.0,20220520
IC2207.CFE,10.0,20220523
IF2207.CFE,10.0,20220523
IC2208.CFE,10.0,20220620
IF2208.CFE,10.0,20220620
IF2303.CFE,10.0,20220718
IC2303.CFE,10.0,20220718
IM2210.CFE,10.0,20220822
IC2210.CFE,10.0,20220822
IF2210.CFE,10.0,20220822
IM2211.CFE,10.0,20220919
IC2210.CFE,20.0,20221021
IF2210.CFE,20.0,20221021
IM2210.CFE,20.0,20221021
IM2306.CFE,10.0,20221024
IC2306.CFE,10.0,20221024
IF2306.CFE,10.0,20221024
IC2211.CFE,20.0,20221118
IF2211.CFE,20.0,20221118
IM2211.CFE,20.0,20221118
IM2301.CFE,10.0,20221121
IF2301.CFE,10.0,20221121
IC2301.CFE,10.0,20221121
IC2212.CFE,20.0,20221216
IF2212.CFE,20.0,20221216
IM2212.CFE,20.0,20221216
IC2302.CFE,10.0,20221219
IF2302.CFE,10.0,20221219
IM2302.CFE,10.0,20221219
IC2301.CFE,20.0,20230120
IF2301.CFE,20.0,20230120
IM2301.CFE,20.0,20230120
IF2309.CFE,10.0,20230130
IC2309.CFE,10.0,20230130
IM2309.CFE,10.0,20230130
IC2302.CFE,20.0,20230217
IF2302.CFE,20.0,20230217
IM2302.CFE,20.0,20230217
IM2304.CFE,10.0,20230220
IC2304.CFE,10.0,20230220
IF2304.CFE,10.0,20230220
IF2305.CFE,10.0,20230320
IC2305.CFE,10.0,20230320
IM2305.CFE,10.0,20230320
IC2303.CFE,20.0,20230317
IF2303.CFE,20.0,20230317
IM2303.CFE,20.0,20230317
IC2312.CFE,10.0,20230424
IF2312.CFE,10.0,20230424
IM2312.CFE,10.0,20230424
IC2304.CFE,20.0,20230421
IF2304.CFE,20.0,20230421
IM2304.CFE,20.0,20230421
IC2305.CFE,20.0,20230519
IF2305.CFE,20.0,20230519
IM2305.CFE,20.0,20230519
IC2307.CFE,10.0,20230522
IF2307.CFE,10.0,20230522
IM2307.CFE,10.0,20230522
IC2308.CFE,10.0,20230619
IF2308.CFE,10.0,20230619
IM2308.CFE,10.0,20230619
IC2306.CFE,20.0,20230616
IF2306.CFE,20.0,20230616
IM2306.CFE,20.0,20230616
IC2403.CFE,10.0,20230724
IF2403.CFE,10.0,20230724
IM2403.CFE,10.0,20230724
IC2307.CFE,20.0,20230721
IF2307.CFE,20.0,20230721
IM2307.CFE,20.0,20230721
IC2308.CFE,20.0,20230818
IF2308.CFE,20.0,20230818
IM2308.CFE,20.0,20230818
IM2310.CFE,10.0,20230821
IC2310.CFE,10.0,20230821
IF2310.CFE,10.0,20230821
IC2309.CFE,20.0,20230915
IF2309.CFE,20.0,20230915
IM2309.CFE,20.0,20230915
IF2311.CFE,10.0,20230918
IC2311.CFE,10.0,20230918
IM2311.CFE,10.0,20230918
IC2310.CFE,20.0,20231020
IF2310.CFE,20.0,20231020
IM2310.CFE,20.0,20231020
IC2406.CFE,10.0,20231023
IF2406.CFE,10.0,20231023
IM2406.CFE,10.0,20231023
IC2311.CFE,20.0,20231117
IF2311.CFE,20.0,20231117
IM2311.CFE,20.0,20231117
IC2401.CFE,10.0,20231120
IF2401.CFE,10.0,20231120
IM2401.CFE,10.0,20231120
IC2312.CFE,20.0,20231215
IF2312.CFE,20.0,20231215
IM2312.CFE,20.0,20231215
IF2402.CFE,10.0,20231218
IC2402.CFE,10.0,20231218
IM2402.CFE,10.0,20231218
IC2409.CFE,10.0,20240122
IM2409.CFE,10.0,20240122
IF2409.CFE,10.0,20240122
IC2401.CFE,20.0,20240119
IF2401.CFE,20.0,20240119
IM2401.CFE,20.0,20240119
IC2402.CFE,20.0,20240219
IF2402.CFE,20.0,20240219
IM2402.CFE,20.0,20240219
IC2404.CFE,10.0,20240220
IM2404.CFE,10.0,20240220
IF2404.CFE,10.0,20240220
IC2403.CFE,20.0,20240315
IF2403.CFE,20.0,20240315
IM2403.CFE,20.0,20240315
IF2405.CFE,10.0,20240318
IM2405.CFE,10.0,20240318
IC2405.CFE,10.0,20240318
IC2404.CFE,20.0,20240419
IF2404.CFE,20.0,20240419
IM2404.CFE,20.0,20240419
IF2412.CFE,10.0,20240422
IM2412.CFE,10.0,20240422
IC2412.CFE,10.0,20240422
IC2405.CFE,20.0,20240517
IF2405.CFE,20.0,20240517
IM2405.CFE,20.0,20240517
IC2407.CFE,10.0,20240520
IF2407.CFE,10.0,20240520
IM2407.CFE,10.0,20240520
IC2406.CFE,20.0,20240621
IF2406.CFE,20.0,20240621
IM2406.CFE,20.0,20240621
IF2408.CFE,10.0,20240624
IM2408.CFE,10.0,20240624
IC2408.CFE,10.0,20240624
IC2407.CFE,20.0,20240719
IF2407.CFE,20.0,20240719
IM2407.CFE,20.0,20240719
IC2503.CFE,10.0,20240722
IF2503.CFE,10.0,20240722
IM2503.CFE,10.0,20240722
IC2408.CFE,20.0,20240816
IF2408.CFE,20.0,20240816
IM2408.CFE,20.0,20240816
IC2410.CFE,10.0,20240819
IF2410.CFE,10.0,20240819
IM2410.CFE,10.0,20240819
IC2409.CFE,20.0,20240920
IF2409.CFE,20.0,20240920
IM2409.CFE,20.0,20240920
IC2411.CFE,10.0,20240923
IF2411.CFE,10.0,20240923
IM2411.CFE,10.0,20240923
IC2410.CFE,20.0,20241018
IF2410.CFE,20.0,20241018
IM2410.CFE,20.0,20241018
IC2506.CFE,10.0,20241021
IF2506.CFE,10.0,20241021
IM2506.CFE,10.0,20241021
IC2411.CFE,20.0,20241115
IF2411.CFE,20.0,20241115
IM2411.CFE,20.0,20241115
IM2501.CFE,10.0,20241118
IF2501.CFE,10.0,20241118
IC2501.CFE,10.0,20241118
IC2412.CFE,20.0,20241220
IF2412.CFE,20.0,20241220
IM2412.CFE,20.0,20241220
IC2502.CFE,10.0,20241223
IF2502.CFE,10.0,20241223
IM2502.CFE,10.0,20241223
IC2501.CFE,20.0,20250117
IF2501.CFE,20.0,20250117
IM2501.CFE,20.0,20250117
IM2509.CFE,10.0,20250120
IC2509.CFE,10.0,20250120
IF2509.CFE,10.0,20250120
IC2502.CFE,20.0,20250221
IF2502.CFE,20.0,20250221
IM2502.CFE,20.0,20250221
IC2504.CFE,10.0,20250224
IF2504.CFE,10.0,20250224
IM2504.CFE,10.0,20250224
IC2503.CFE,20.0,20250321
IF2503.CFE,20.0,20250321
IM2503.CFE,20.0,20250321
